,Case,Beam Type,Method,n,L/h,k,result
199,442,C-C FG,ASDBT,,5,0.0,10.1099
200,443,C-C FG,ASDBT,,5,0.2,9.5001
201,444,C-C FG,ASDBT,,5,0.5,8.7802
202,445,C-C FG,ASDBT,,5,1.0,7.9848
203,446,C-C FG,ASDBT,,5,2.0,7.2082
204,447,C-C FG,ASDBT,,5,5.0,6.5105
205,448,C-C FG,ASDBT,,5,10.0,6.1918
79,212,C-C FG,ASDBT,,10,0.3,5.874
269,512,C-C FG,ASDBT,,20,0.0,12.2269
270,513,C-C FG,ASDBT,,20,0.2,11.3884
271,514,C-C FG,ASDBT,,20,0.5,10.4354
272,515,C-C FG,ASDBT,,20,1.0,9.4446
273,516,C-C FG,ASDBT,,20,2.0,8.6141
274,517,C-C FG,ASDBT,,20,5.0,8.1569
275,518,C-C FG,ASDBT,,20,10.0,7.8945
86,219,C-C FG,ASDBT,,30,0.3,6.178
93,226,C-C FG,ASDBT,,100,0.3,6.216
339,582,C-F FG,ASDBT,,5,0.0,1.8955
340,583,C-F FG,ASDBT,,5,0.2,1.7663
341,584,C-F FG,ASDBT,,5,0.5,1.6187
342,585,C-F FG,ASDBT,,5,1.0,1.4645
343,586,C-F FG,ASDBT,,5,2.0,1.3341
344,587,C-F FG,ASDBT,,5,5.0,1.2605
345,588,C-F FG,ASDBT,,5,10.0,1.2192
58,191,C-F FG,ASDBT,,10,0.3,0.97
409,652,C-F FG,ASDBT,,20,0.0,1.9496
410,653,C-F FG,ASDBT,,20,0.2,1.8143
411,654,C-F FG,ASDBT,,20,0.5,1.6609
412,655,C-F FG,ASDBT,,20,1.0,1.5022
413,656,C-F FG,ASDBT,,20,2.0,1.3711
414,657,C-F FG,ASDBT,,20,5.0,1.3046
415,658,C-F FG,ASDBT,,20,10.0,1.2653
65,198,C-F FG,ASDBT,,30,0.3,0.976
72,205,C-F FG,ASDBT,,100,0.3,0.977
479,722,S-S FG,ASDBT,,5,0.0,5.1665
480,723,S-S FG,ASDBT,,5,0.2,4.8492
481,724,S-S FG,ASDBT,,5,0.5,4.5435
482,725,S-S FG,ASDBT,,5,1.0,4.2661
483,726,S-S FG,ASDBT,,5,2.0,4.0189
484,727,S-S FG,ASDBT,,5,5.0,3.7179
485,728,S-S FG,ASDBT,,5,10.0,3.464
37,170,S-S FG,ASDBT,,10,0.3,2.736
549,792,S-S FG,ASDBT,,20,0.0,5.4607
550,793,S-S FG,ASDBT,,20,0.2,5.1148
551,794,S-S FG,ASDBT,,20,0.5,4.7885
552,795,S-S FG,ASDBT,,20,1.0,4.5025
553,796,S-S FG,ASDBT,,20,2.0,4.2682
554,797,S-S FG,ASDBT,,20,5.0,4.0062
555,798,S-S FG,ASDBT,,20,10.0,3.7386
16,149,S-S FG,ASDBT,,30,0.0,2.804
23,156,S-S FG,ASDBT,,30,0.0,2.844
44,177,S-S FG,ASDBT,,30,0.3,2.774
30,163,S-S FG,ASDBT,,100,0.0,2.849
51,184,S-S FG,ASDBT,,100,0.3,2.778
94,267,C-C FG,CBT,,5,0.0,12.1826
95,268,C-C FG,CBT,,5,0.2,11.341
96,269,C-C FG,CBT,,5,0.5,10.3875
97,270,C-C FG,CBT,,5,1.0,9.3993
98,271,C-C FG,CBT,,5,2.0,8.5772
99,272,C-C FG,CBT,,5,5.0,8.1515
100,273,C-C FG,CBT,,5,10.0,7.9041
73,206,C-C FG,CBT,,10,0.3,6.188
136,309,C-C FG,CBT,,20,0.0,12.4142
137,310,C-C FG,CBT,,20,0.2,11.5549
138,311,C-C FG,CBT,,20,0.5,10.5871
139,312,C-C FG,CBT,,20,1.0,9.5907
140,313,C-C FG,CBT,,20,2.0,8.3425
141,314,C-C FG,CBT,,20,5.0,8.0797
142,315,C-C FG,CBT,,20,10.0,7.9041
80,213,C-C FG,CBT,,30,0.3,6.216
87,220,C-C FG,CBT,,100,0.3,6.22
101,274,C-F FG,CBT,,5,0.0,1.9385
102,275,C-F FG,CBT,,5,0.2,1.8042
103,276,C-F FG,CBT,,5,0.5,1.6524
104,277,C-F FG,CBT,,5,1.0,1.4954
105,278,C-F FG,CBT,,5,2.0,1.3655
106,279,C-F FG,CBT,,5,5.0,1.2989
107,280,C-F FG,CBT,,5,10.0,1.2593
52,185,C-F FG,CBT,,10,0.3,0.975
143,316,C-F FG,CBT,,20,0.0,1.9525
144,317,C-F FG,CBT,,20,0.2,1.8171
145,318,C-F FG,CBT,,20,0.5,1.6644
146,319,C-F FG,CBT,,20,1.0,1.507
147,320,C-F FG,CBT,,20,2.0,1.3771
148,321,C-F FG,CBT,,20,5.0,1.3105
149,322,C-F FG,CBT,,20,10.0,1.2699
59,192,C-F FG,CBT,,30,0.3,0.977
66,199,C-F FG,CBT,,100,0.3,0.977
108,281,S-S FG,CBT,,5,0.0,5.3953
109,282,S-S FG,CBT,,5,0.2,5.0538
110,283,S-S FG,CBT,,5,0.5,4.7314
111,284,S-S FG,CBT,,5,1.0,4.4488
112,285,S-S FG,CBT,,5,2.0,4.2177
113,286,S-S FG,CBT,,5,5.0,3.9617
114,287,S-S FG,CBT,,5,10.0,3.6977
10,143,S-S FG,CBT,,10,0.0,2.837
31,164,S-S FG,CBT,,10,0.3,2.768
150,323,S-S FG,CBT,,20,0.0,5.4777
151,324,S-S FG,CBT,,20,0.2,5.1299
