,Beam Type,Method,L/h,k,result
0,C-C,ASDBT,5,0.0,10.0944
1,C-C,ASDBT,20,0.0,12.2251
2,C-F,ASDBT,5,0.0,1.89565
3,C-F,ASDBT,20,0.0,1.9496
4,S-S,ASDBT,5,0.0,5.15422
5,S-S,ASDBT,20,0.0,5.46042
6,C-C,CBT,5,0.0,12.1826
7,C-C,CBT,20,0.0,12.1826
8,C-F,CBT,5,0.0,1.93845
9,C-F,CBT,20,0.0,1.95248
10,S-S,CBT,5,0.0,5.39533
11,S-S,CBT,20,0.0,5.47773
12,C-C,ESDBT,5,0.0,10.0944
13,C-C,ESDBT,20,0.0,12.2238
14,C-F,ESDBT,5,0.0,1.89565
15,C-F,ESDBT,20,0.0,1.9496
16,S-S,ESDBT,5,0.0,5.15422
17,S-S,ESDBT,20,0.0,5.46042
18,C-F,TBT,5,0.0,1.89479
19,C-F,TBT,20,0.0,1.94957
20,S-S,TBT,5,0.0,5.15247
21,S-S,TBT,20,0.0,5.46032
22,C-C,HSDBT,5,0.0,10.0699
23,C-C,HSDBT,20,0.0,12.2242
24,C-F,HSDBT,5,0.0,1.89521
25,C-F,HSDBT,20,0.0,1.94954
26,S-S,HSDBT,5,0.0,5.15274
27,S-S,HSDBT,20,0.0,5.4603
28,C-C,PSDBT,5,0.0,10.0705
29,C-C,PSDBT,20,0.0,12.2235
30,C-F,PSDBT,5,0.0,1.89523
31,C-F,PSDBT,20,0.0,1.94954
32,S-S,PSDBT,5,0.0,5.15274
33,S-S,PSDBT,20,0.0,5.4603
34,C-C,TBT,5,0.0,10.0344
35,C-C,TBT,20,0.0,12.4142
36,C-C,TSDBT,5,0.0,10.0797
37,C-C,TSDBT,20,0.0,12.2238
38,C-F,TSDBT,5,0.0,1.89536
39,C-F,TSDBT,20,0.0,1.9496
40,S-S,TSDBT,5,0.0,5.15313
41,S-S,TSDBT,20,0.0,5.46036
42,C-C,ASDBT,5,0.2,9.48737
43,C-C,ASDBT,20,0.2,11.3884
44,C-F,ASDBT,5,0.2,1.76673
45,C-F,ASDBT,20,0.2,1.81464
46,S-S,ASDBT,5,0.2,4.81053
47,S-S,ASDBT,20,0.2,5.08292
48,C-C,CBT,5,0.2,11.3398
49,C-C,CBT,20,0.2,11.5537
50,C-F,CBT,5,0.2,1.80418
51,C-F,CBT,20,0.2,1.81714
52,S-S,CBT,5,0.2,5.02194
53,S-S,CBT,20,0.2,5.09804
54,C-C,ESDBT,5,0.2,9.48737
55,C-C,ESDBT,20,0.2,11.3884
56,C-F,ESDBT,5,0.2,1.76673
57,C-F,ESDBT,20,0.2,1.81464
58,S-S,ESDBT,5,0.2,4.81053
59,S-S,ESDBT,20,0.2,5.08292
60,C-F,TBT,5,0.2,1.76554
61,C-F,TBT,20,0.2,1.81456
62,S-S,TBT,5,0.2,4.80657
63,S-S,TBT,20,0.2,5.08265
64,C-C,HSDBT,5,0.2,9.4659
65,C-C,HSDBT,20,0.2,11.3873
66,C-F,HSDBT,5,0.2,1.76637
67,C-F,HSDBT,20,0.2,1.81458
68,S-S,HSDBT,5,0.2,4.80924
69,S-S,HSDBT,20,0.2,5.08286
70,C-C,PSDBT,5,0.2,9.46641
71,C-C,PSDBT,20,0.2,11.3873
72,C-F,PSDBT,5,0.2,1.76637
73,C-F,PSDBT,20,0.2,1.81458
74,S-S,PSDBT,5,0.2,4.80924
75,S-S,PSDBT,20,0.2,5.08286
76,C-C,TBT,5,0.2,9.41764
77,C-C,TBT,20,0.2,11.385
78,C-C,TSDBT,5,0.2,9.47451
79,C-C,TSDBT,20,0.2,11.3876
80,C-F,TSDBT,5,0.2,1.76649
81,C-F,TSDBT,20,0.2,1.81458
82,S-S,TSDBT,5,0.2,4.80959
83,S-S,TSDBT,20,0.2,5.08286
84,S-S,ASDBT,10,0.3,2.702
85,S-S,ASDBT,30,0.3,2.738
86,S-S,ASDBT,100,0.3,2.742
87,C-F,ASDBT,10,0.3,0.97
88,C-F,ASDBT,30,0.3,0.976
89,C-F,ASDBT,100,0.3,0.977
90,C-C,ASDBT,10,0.3,5.884
91,C-C,ASDBT,30,0.3,6.177
92,C-C,ASDBT,100,0.3,6.214
93,S-S,PSDBT,10,0.3,2.702
94,S-S,PSDBT,30,0.3,2.738
95,S-S,PSDBT,100,0.3,2.742
96,C-F,PSDBT,10,0.3,0.97
97,C-F,PSDBT,30,0.3,0.976
98,C-F,PSDBT,100,0.3,0.977
99,C-C,PSDBT,10,0.3,5.881
100,C-C,PSDBT,30,0.3,6.177
101,C-C,PSDBT,100,0.3,6.214
102,S-S,TBT,10,0.3,2.701
103,S-S,TBT,30,0.3,2.738
104,S-S,TBT,100,0.3,2.742
105,C-F,TBT,10,0.3,0.97
106,C-F,TBT,30,0.3,0.976
107,C-F,TBT,100,0.3,0.977
108,C-C,TBT,10,0.3,5.875
109,C-C,TBT,30,0.3,6.177
110,C-C,TBT,100,0.3,6.214
111,C-C,ASDBT,5,0.5,8.7653
112,C-C,ASDBT,20,0.5,10.4297
113,C-F,ASDBT,5,0.5,1.61848
114,C-F,ASDBT,20,0.5,1.66049
115,S-S,ASDBT,5,0.5,4.41222
116,S-S,ASDBT,20,0.5,4.65165
117,C-C,CBT,5,0.5,10.3718
118,C-C,CBT,20,0.5,10.5713
119,C-F,CBT,5,0.5,1.65057
120,C-F,CBT,20,0.5,1.66265
121,S-S,CBT,5,0.5,4.5936
122,S-S,CBT,20,0.5,4.66458
123,C-C,ESDBT,5,0.5,8.7653
124,C-C,ESDBT,20,0.5,10.4297
125,C-F,ESDBT,5,0.5,1.61848
126,C-F,ESDBT,20,0.5,1.66049
127,S-S,ESDBT,5,0.5,4.41222
128,S-S,ESDBT,20,0.5,4.65165
129,C-F,TBT,5,0.5,1.61737
130,C-F,TBT,20,0.5,1.66044
131,S-S,TBT,5,0.5,4.4083
132,S-S,TBT,20,0.5,4.65137
133,C-C,HSDBT,5,0.5,8.74628
134,C-C,HSDBT,20,0.5,10.4287
135,C-F,HSDBT,5,0.5,1.61815
136,C-F,HSDBT,20,0.5,1.66049
137,S-S,HSDBT,5,0.5,4.41108
138,S-S,HSDBT,20,0.5,4.65159
139,C-C,PSDBT,5,0.5,8.74674
140,C-C,PSDBT,20,0.5,10.4287
141,C-F,PSDBT,5,0.5,1.61817
142,C-F,PSDBT,20,0.5,1.66049
143,S-S,PSDBT,5,0.5,4.41108
144,S-S,PSDBT,20,0.5,4.65159
145,C-C,TBT,5,0.5,8.70047
146,C-C,TBT,20,0.5,10.4263
147,C-C,TSDBT,5,0.5,8.75394
148,C-C,TSDBT,20,0.5,10.429
149,C-F,TSDBT,5,0.5,1.61827
150,C-F,TSDBT,20,0.5,1.66049
151,S-S,TSDBT,5,0.5,4.41138
152,S-S,TSDBT,20,0.5,4.65159
153,C-C,ASDBT,5,1.0,7.96695
154,C-C,ASDBT,20,1.0,9.43242
155,C-F,ASDBT,5,1.0,1.46357
156,C-F,ASDBT,20,1.0,1.50106
157,S-S,ASDBT,5,1.0,3.99139
158,S-S,ASDBT,20,1.0,4.20515
159,C-C,CBT,5,1.0,9.36422
160,C-C,CBT,20,1.0,9.55538
161,C-F,CBT,5,1.0,1.49135
162,C-F,CBT,20,1.0,1.50293
163,S-S,CBT,5,1.0,4.14835
164,S-S,CBT,20,1.0,4.21634
165,C-C,ESDBT,5,1.0,7.96695
166,C-C,ESDBT,20,1.0,9.43242
167,C-F,ESDBT,5,1.0,1.46357
168,C-F,ESDBT,20,1.0,1.50106
169,S-S,ESDBT,5,1.0,3.99139
170,S-S,ESDBT,20,1.0,4.20515
171,C-F,TBT,5,1.0,1.46300
172,C-F,TBT,20,1.0,1.50104
173,S-S,TBT,5,1.0,3.99023
174,S-S,TBT,20,1.0,4.20505
175,C-C,HSDBT,5,1.0,7.94994
176,C-C,HSDBT,20,1.0,9.43158
177,C-F,HSDBT,5,1.0,1.46328
178,C-F,HSDBT,20,1.0,1.50106
179,S-S,HSDBT,5,1.0,3.99042
180,S-S,HSDBT,20,1.0,4.20503
181,C-C,PSDBT,5,1.0,7.95034
182,C-C,PSDBT,20,1.0,9.43158
183,C-F,PSDBT,5,1.0,1.46328
184,C-F,PSDBT,20,1.0,1.50106
185,S-S,PSDBT,5,1.0,3.99042
186,S-S,PSDBT,20,1.0,4.20503
187,C-C,TBT,5,1.0,7.92529
188,C-C,TBT,20,1.0,9.43135
189,C-C,TSDBT,5,1.0,7.95676
190,C-C,TSDBT,20,1.0,9.43182
191,C-F,TSDBT,5,1.0,1.46339
192,C-F,TSDBT,20,1.0,1.50106
193,S-S,TSDBT,5,1.0,3.99067
194,S-S,TSDBT,20,1.0,4.20509
195,C-C,ASDBT,5,2.0,7.18839
196,C-C,ASDBT,20,2.0,8.59775
197,C-F,ASDBT,5,2.0,1.33268
198,C-F,ASDBT,20,2.0,1.36957
199,S-S,ASDBT,5,2.0,3.62671
200,S-S,ASDBT,20,2.0,3.83617
201,C-C,CBT,5,2.0,8.52772
202,C-C,CBT,20,2.0,8.71856
203,C-F,CBT,5,2.0,1.35985
204,C-F,CBT,20,2.0,1.37142
205,S-S,CBT,5,2.0,3.7793
206,S-S,CBT,20,2.0,3.84719
207,C-C,ESDBT,5,2.0,7.18839
208,C-C,ESDBT,20,2.0,8.59775
209,C-F,ESDBT,5,2.0,1.33268
210,C-F,ESDBT,20,2.0,1.36957
211,S-S,ESDBT,5,2.0,3.62671
212,S-S,ESDBT,20,2.0,3.83617
213,C-F,TBT,5,2.0,1.33376
214,C-F,TBT,20,2.0,1.36968
215,S-S,TBT,5,2.0,3.63438
216,S-S,TBT,20,2.0,3.83676
217,C-C,HSDBT,5,2.0,7.17656
218,C-C,HSDBT,20,2.0,8.59751
219,C-F,HSDBT,5,2.0,1.33254
220,C-F,HSDBT,20,2.0,1.36957
221,S-S,HSDBT,5,2.0,3.62647
222,S-S,HSDBT,20,2.0,3.83611
223,C-C,PSDBT,5,2.0,7.17674
224,C-C,PSDBT,20,2.0,8.59751
225,C-F,PSDBT,5,2.0,1.33254
226,C-F,PSDBT,20,2.0,1.36957
227,S-S,PSDBT,5,2.0,3.62643
228,S-S,PSDBT,20,2.0,3.83611
229,C-C,TBT,5,2.0,7.21134
230,C-C,TBT,20,2.0,8.60401
231,C-C,TSDBT,5,2.0,7.18062
